Gender,Tahun,Bulan,-3 SD,-2 SD,-1 SD,Median,+1 SD,+2 SD,+3 SD
Laki-laki,14,7,14.5,15.8,17.4,19.5,22.3,26.5,33.7
Laki-laki,14,8,14.6,15.8,17.4,19.5,22.4,26.6,33.8
Laki-laki,14,9,14.6,15.9,17.5,19.6,22.5,26.7,33.9
Laki-laki,14,10,14.6,15.9,17.5,19.6,22.5,26.8,33.9
Laki-laki,14,11,14.7,16.0,17.6,19.7,22.6,26.9,34.0
Laki-laki,15,0,14.7,16.0,17.6,19.8,22.7,27.0,34.1
Laki-laki,15,1,14.7,16.1,17.7,19.8,22.8,27.1,34.1
Laki-laki,15,2,14.8,16.1,17.8,19.9,22.8,27.1,34.2
Laki-laki,15,3,14.8,16.1,17.8,20.0,22.9,27.2,34.3
Laki-laki,15,4,14.8,16.2,17.9,20.0,23.0,27.3,34.3
Laki-laki,15,5,14.9,16.2,17.9,20.1,23.0,27.4,34.4
Laki-laki,15,6,14.9,16.3,18.0,20.1,23.1,27.4,34.5
Laki-laki,15,7,15.0,16.3,18.0,20.2,23.2,27.5,34.5
Laki-laki,15,8,15.0,16.3,18.1,20.3,23.3,27.6,34.6
Laki-laki,15,9,15.0,16.4,18.1,20.3,23.3,27.7,34.6
Laki-laki,15,10,15.0,16.4,18.2,20.4,23.4,27.7,34.7
Laki-laki,15,11,15.1,16.5,18.2,20.4,23.5,27.8,34.7
Laki-laki,16,0,15.1,16.5,18.2,20.5,23.5,27.9,34.8
Laki-laki,16,1,15.1,16.5,18.3,20.6,23.6,27.9,34.8
Laki-laki,16,2,15.2,16.6,18.3,20.6,23.7,28.0,34.8
Laki-laki,16,3,15.2,16.6,18.4,20.7,23.7,28.1,34.9
Laki-laki,16,4,15.2,16.7,18.4,20.7,23.8,28.1,34.9
Laki-laki,16,5,15.3,16.7,18.5,20.8,23.8,28.2,35.0
Laki-laki,16,6,15.3,16.7,18.5,20.8,23.9,28.3,35.0
Laki-laki,16,7,15.3,16.8,18.6,20.9,24.0,28.3,35.0
Laki-laki,16,8,15.3,16.8,18.6,20.9,24.0,28.4,35.1
Laki-laki,16,9,15.4,16.8,18.7,21.0,24.1,28.5,35.1
Laki-laki,16,10,15.4,16.9,18.7,21.0,24.2,28.5,35.1
Laki-laki,16,11,15.4,16.9,18.7,21.1,24.2,28.6,35.2
Laki-laki,17,0,15.4,16.9,18.8,21.1,24.3,28.6,35.2
Laki-laki,17,1,15.5,17.0,18.8,21.2,24.3,28.7,35.2
Laki-laki,17,2,15.5,17.0,18.9,21.2,24.4,28.7,35.2
Laki-laki,17,3,15.5,17.0,18.9,21.3,24.4,28.8,35.3
Laki-laki,17,4,15.5,17.1,18.9,21.3,24.5,28.9,35.3
Laki-laki,17,5,15.6,17.1,19.0,21.4,24.5,28.9,35.3
Laki-laki,17,6,15.6,17.1,19.0,21.4,24.6,29.0,35.3
Laki-laki,17,7,15.6,17.1,19.1,21.5,24.7,29.0,35.4
Laki-laki,17,8,15.6,17.2,19.1,21.5,24.7,29.1,35.4
Laki-laki,17,9,15.6,17.2,19.1,21.6,24.8,29.1,35.4
Laki-laki,17,10,15.7,17.2,19.2,21.6,24.8,29.2,35.4
Laki-laki,17,11,15.7,17.3,19.2,21.7,24.9,29.2,35.4
Laki-laki,18,0,15.7,17.3,19.2,21.7,24.9,29.2,35.4
Laki-laki,18,1,15.7,17.3,19.3,21.8,25.0,29.3,35.4
Laki-laki,18,2,15.7,17.3,19.3,21.8,25.0,29.3,35.5
Laki-laki,18,3,15.7,17.4,19.3,21.8,25.1,29.4,35.5
Laki-laki,18,4,15.8,17.4,19.4,21.9,25.1,29.4,35.5
Laki-laki,18,5,15.8,17.4,19.4,21.9,25.1,29.5,35.5
Laki-laki,18,6,15.8,17.4,19.4,22.0,25.2,29.5,35.5
Laki-laki,18,7,15.8,17.5,19.5,22.0,25.2,29.5,35.5
Laki-laki,18,8,15.8,17.5,19.5,22.0,25.3,29.6,35.5
Laki-laki,18,9,15.8,17.5,19.5,22.1,25.3,29.6,35.5
Laki-laki,18,10,15.8,17.5,19.6,22.1,25.4,29.6,35.5
Laki-laki,18,11,15.8,17.5,19.6,22.2,25.4,29.7,35.5
Laki-laki,19,0,15.9,17.6,19.6,22.2,25.4,29.7,35.5
